** CONVERTED FROM C:\Users\arezoo\Documents\MATLAB\Projects\SceneConstruction_RDP_Psychophysics\SceneConstructionProper\Data\SubjectsData\110\110_Block_1_toTrial5.edf using edfapi 3.1 Win32 Apr 29 2011 on Wed Jul 03 16:47:50 2019
** DATE: Wed Jul  3 17:54:06 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AC7
** SERIAL NUMBER: CLG-BBE31
** CAMERA_CONFIG: BBE31200.SCD
** Heins_SC
**

MSG	5435443 RECCFG CR 1000 1 1 R
MSG	5435443 ELCLCFG MTABLER
MSG	5435443 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	5435443 THRESHOLDS R 87 217
MSG	5435443 ELCL_WINDOW_SIZES 176 188 0 0
MSG	5435443 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	5435443 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5435443 ELCL_PROC ELLIPSE  (5)
MSG	5435443 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	5435444 !MODE RECORD CR 1000 1 1 R
START	5435445 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	5435445	127
5435445	  955.6	  551.1	 7550.0	...
5435446	  955.6	  551.1	 7552.0	...
5435447	  955.6	  550.7	 7552.0	...
5435448	  957.6	  550.5	 7551.0	...
5435449	  957.7	  549.5	 7551.0	...
5435450	  958.0	  548.5	 7551.0	...
SFIX R   5435451
5435451	  957.9	  549.0	 7555.0	...
5435452	  956.7	  548.9	 7555.0	...
5435453	  956.6	  549.6	 7550.0	...
5435454	  956.6	  550.3	 7550.0	...
5435455	  956.4	  551.2	 7550.0	...
5435456	  956.4	  551.2	 7560.0	...
5435457	  958.6	  548.7	 7560.0	...
5435458	  958.7	  548.1	 7560.0	...
5435459	  958.8	  546.4	 7548.0	...
5435460	  957.6	  546.1	 7548.0	...
5435461	  958.0	  546.1	 7548.0	...
5435462	  957.6	  549.9	 7551.0	...
5435463	  956.8	  549.8	 7554.0	...
5435464	  956.8	  549.9	 7554.0	...
5435465	  958.5	  550.0	 7556.0	...
5435466	  958.8	  546.3	 7556.0	...
5435467	  958.4	  546.9	 7556.0	...
5435468	  958.3	  547.4	 7556.0	...
5435469	  957.7	  549.7	 7546.0	...
5435470	  957.7	  549.7	 7545.0	...
5435471	  957.9	  546.5	 7545.0	...
5435472	  957.8	  546.5	 7554.0	...
5435473	  957.8	  546.5	 7554.0	...
5435474	  957.8	  545.2	 7551.0	...
5435475	  957.8	  545.2	 7551.0	...
5435476	  957.7	  547.2	 7553.0	...
5435477	  957.7	  547.2	 7553.0	...
