** CONVERTED FROM C:\Users\arezoo\Documents\MATLAB\Projects\SceneConstruction_RDP_Psychophysics\SceneConstructionProper\Data\SubjectsData\110\110_Block_1_toTrial3.edf using edfapi 3.1 Win32 Apr 29 2011 on Wed Jul 03 16:46:05 2019
** DATE: Wed Jul  3 17:53:38 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AC7
** SERIAL NUMBER: CLG-BBE31
** CAMERA_CONFIG: BBE31200.SCD
** Heins_SC
**

MSG	5407513 RECCFG CR 1000 1 1 R
MSG	5407513 ELCLCFG MTABLER
MSG	5407513 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	5407513 THRESHOLDS R 87 217
MSG	5407513 ELCL_WINDOW_SIZES 176 188 0 0
MSG	5407513 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	5407513 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5407513 ELCL_PROC ELLIPSE  (5)
MSG	5407513 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	5407514 !MODE RECORD CR 1000 1 1 R
START	5407515 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	5407515	127
5407623	  964.3	  480.7	 7412.0	...
5407624	  966.3	  480.5	 7413.0	...
5407625	  966.5	  480.2	 7413.0	...
5407626	  966.6	  480.1	 7413.0	...
5407627	  966.8	  480.1	 7420.0	...
5407628	  966.8	  480.1	 7420.0	...
5407629	  966.3	  479.9	 7420.0	...
5407630	  965.9	  479.9	 7421.0	...
5407631	  965.6	  480.3	 7421.0	...
5407632	  965.6	  480.8	 7414.0	...
5407633	  965.7	  480.2	 7414.0	...
5407634	  965.7	  479.5	 7421.0	...
5407635	  966.1	  479.6	 7420.0	...
5407636	  965.8	  483.8	 7420.0	...
5407637	  965.8	  483.8	 7421.0	...
5407638	  965.8	  483.7	 7421.0	...
5407639	  966.4	  483.7	 7423.0	...
5407640	  966.3	  483.7	 7423.0	...
5407641	  966.4	  481.6	 7423.0	...
5407642	  964.2	  481.4	 7422.0	...
5407643	  964.0	  483.9	 7422.0	...
5407644	  964.4	  484.0	 7422.0	...
5407645	  964.5	  482.6	 7422.0	...
5407646	  965.2	  481.0	 7426.0	...
5407647	  965.2	  481.0	 7425.0	...
5407648	  964.8	  483.3	 7424.0	...
5407649	  964.6	  483.3	 7422.0	...
5407650	  963.6	  478.7	 7423.0	...
MSG	5407651 Bl_Tr_Dir1_Dir2_Scene_Config_Coh1_Coh2 1 1 90 0 2 6 72 72
5407651	  963.7	  477.4	 7424.0	...
5407652	  963.7	  477.4	 7424.0	...
5407653	  964.6	  477.7	 7424.0	...
5407654	  964.6	  478.0	 7424.0	...
5407655	  964.3	  482.2	 7425.0	...
5407656	  964.3	  482.2	 7425.0	...
5407657	  964.6	  480.6	 7425.0	...
MSG	5407658 EYE_CHECK
5407658	  964.7	  480.6	 7425.0	...
5407659	  964.7	  480.6	 7432.0	...
5407660	  964.4	  481.1	 7433.0	...
5407661	  963.2	  481.5	 7433.0	...
5407662	  963.3	  481.7	 7430.0	...
5407663	  963.3	  481.7	 7430.0	...
5407664	  963.2	  482.5	 7425.0	...
5407665	  963.2	  482.5	 7426.0	...
5407666	  963.4	  480.5	 7427.0	...
5407667	  963.4	  480.5	 7425.0	...
5407668	  963.4	  479.7	 7425.0	...
5407669	  962.2	  479.9	 7425.0	...
5407670	  962.2	  480.2	 7421.0	...
5407671	  962.3	  483.3	 7421.0	...
5407672	  962.3	  483.3	 7421.0	...
5407673	  962.3	  483.7	 7421.0	...
5407674	  964.1	  484.3	 7421.0	...
5407675	  963.5	  484.3	 7425.0	...
5407676	  963.5	  484.1	 7425.0	...
5407677	  963.2	  484.1	 7425.0	...
5407678	  963.2	  484.1	 7427.0	...
5407679	  962.9	  480.6	 7428.0	...
5407680	  962.4	  478.0	 7428.0	...
5407681	  962.3	  479.5	 7428.0	...
5407682	  963.8	  479.3	 7429.0	...
5407683	  963.9	  478.9	 7433.0	...
5407684	  964.1	  476.1	 7431.0	...
5407685	  962.5	  475.7	 7431.0	...
5407686	  962.5	  475.7	 7434.0	...
5407687	  962.5	  478.9	 7434.0	...
5407688	  962.4	  480.5	 7432.0	...
5407689	  963.0	  480.5	 7435.0	...
5407690	  963.0	  480.4	 7438.0	...
5407691	  961.8	  480.3	 7438.0	...
5407692	  961.6	  479.8	 7438.0	...
5407693	  961.9	  479.8	 7434.0	...
5407694	  961.9	  479.8	 7430.0	...
5407695	  962.0	  477.4	 7430.0	...
5407696	  963.6	  477.9	 7437.0	...
5407697	  963.8	  478.0	 7437.0	...
5407698	  963.9	  475.8	 7437.0	...
5407699	  961.0	  475.6	 7437.0	...
5407700	  960.8	  478.6	 7427.0	...
5407701	  962.6	  480.4	 7427.0	...
5407702	  962.6	  480.4	 7429.0	...
5407703	  963.0	  474.4	 7445.0	...
5407704	  963.0	  474.4	 7445.0	...
5407705	  963.3	  475.6	 7443.0	...
5407706	  963.2	  476.7	 7441.0	...
5407707	  961.9	  482.7	 7442.0	...
5407708	  961.9	  482.7	 7442.0	...
5407709	  962.2	  478.6	 7436.0	...
5407710	  962.2	  478.6	 7427.0	...
5407711	  962.2	  478.3	 7427.0	...
5407712	  962.2	  478.2	 7431.0	...
5407713	  962.7	  478.1	 7432.0	...
5407714	  962.8	  477.1	 7429.0	...
5407715	  963.6	  477.6	 7429.0	...
5407716	  963.6	  477.6	 7438.0	...
5407717	  961.9	  477.0	 7439.0	...
5407718	  961.9	  477.0	 7439.0	...
5407719	  961.0	  479.7	 7439.0	...
5407720	  960.4	  479.6	 7437.0	...
5407721	  960.4	  479.8	 7436.0	...
5407722	  960.2	  479.8	 7436.0	...
5407723	  960.3	  478.7	 7431.0	...
5407724	  960.4	  478.2	 7431.0	...
5407725	  960.4	  478.2	 7431.0	...
5407726	  960.5	  476.3	 7431.0	...
5407727	  961.9	  477.1	 7431.0	...
5407728	  962.4	  477.8	 7431.0	...
5407729	  962.9	  482.0	 7432.0	...
5407730	  962.4	  482.0	 7434.0	...
5407731	  963.2	  475.2	 7440.0	...
5407732	  963.4	  475.2	 7440.0	...
5407733	  963.4	  475.2	 7440.0	...
5407734	  962.1	  476.7	 7437.0	...
5407735	  962.0	  476.9	 7437.0	...
5407736	  962.0	  476.9	 7447.0	...
5407737	  962.0	  477.4	 7447.0	...
5407738	  962.0	  477.4	 7433.0	...
5407739	  962.0	  477.7	 7433.0	...
5407740	  963.9	  478.1	 7437.0	...
5407741	  963.9	  478.1	 7438.0	...
5407742	  964.5	  471.3	 7443.0	...
5407743	  964.5	  471.0	 7444.0	...
5407744	  965.2	  471.1	 7444.0	...
5407745	  964.9	  475.2	 7443.0	...
5407746	  963.7	  475.1	 7443.0	...
5407747	  964.3	  475.2	 7443.0	...
5407748	  964.1	  474.3	 7442.0	...
5407749	  964.0	  474.3	 7443.0	...
5407750	  963.9	  474.2	 7443.0	...
5407751	  963.8	  474.0	 7443.0	...
5407752	  962.1	  474.3	 7443.0	...
5407753	  962.1	  474.3	 7441.0	...
5407754	  962.1	  474.3	 7441.0	...
5407755	  963.0	  473.1	 7441.0	...
5407756	  962.9	  473.6	 7450.0	...
5407757	  962.9	  473.6	 7450.0	...
5407758	  961.2	  472.4	 7457.0	...
5407759	  961.2	  472.4	 7457.0	...
5407760	  961.0	  471.8	 7451.0	...
5407761	  961.0	  471.7	 7451.0	...
5407762	  961.1	  471.7	 7451.0	...
5407763	  961.4	  473.3	 7452.0	...
5407764	  961.6	  474.3	 7452.0	...
5407765	  961.6	  474.3	 7452.0	...
5407766	  961.6	  474.3	 7451.0	...
5407767	  962.9	  476.3	 7451.0	...
5407768	  962.7	  476.2	 7455.0	...
5407769	  963.0	  470.8	 7466.0	...
5407770	  961.2	  473.4	 7466.0	...
5407771	  961.2	  473.2	 7454.0	...
5407772	  961.2	  473.0	 7454.0	...
5407773	  961.1	  473.2	 7460.0	...
5407774	  960.9	  473.2	 7459.0	...
5407775	  960.4	  473.1	 7458.0	...
5407776	  960.1	  476.5	 7454.0	...
5407777	  960.6	  476.5	 7457.0	...
5407778	  960.9	  473.0	 7459.0	...
5407779	  961.5	  469.9	 7459.0	...
5407780	  961.2	  469.9	 7452.0	...
5407781	  961.1	  471.2	 7452.0	...
5407782	  961.0	  472.5	 7453.0	...
5407783	  960.9	  473.3	 7457.0	...
5407784	  960.9	  473.3	 7457.0	...
5407785	  961.5	  469.1	 7457.0	...
5407786	  961.5	  469.1	 7460.0	...
5407787	  962.2	  470.6	 7463.0	...
5407788	  961.8	  470.6	 7463.0	...
5407789	  961.5	  470.5	 7457.0	...
5407790	  960.3	  474.3	 7457.0	...
5407791	  960.3	  474.3	 7455.0	...
5407792	  961.7	  474.7	 7456.0	...
5407793	  961.7	  475.2	 7456.0	...
5407794	  961.0	  475.2	 7457.0	...
5407795	  960.7	  470.6	 7457.0	...
5407796	  961.3	  470.7	 7461.0	...
5407797	  961.3	  470.8	 7461.0	...
5407798	  960.4	  470.8	 7458.0	...
5407799	  960.6	  470.8	 7458.0	...
5407800	  960.7	  469.4	 7460.0	...
5407801	  960.2	  469.4	 7462.0	...
5407802	  960.1	  473.7	 7467.0	...
5407803	  960.1	  473.7	 7467.0	...
5407804	  960.1	  473.7	 7467.0	...
5407805	  959.8	  472.5	 7467.0	...
5407806	  959.8	  472.5	 7461.0	...
5407807	  959.8	  472.2	 7461.0	...
5407808	  960.2	  470.8	 7462.0	...
5407809	  960.2	  470.7	 7463.0	...
5407810	  960.8	  470.7	 7459.0	...
5407811	  960.7	  471.1	 7456.0	...
5407812	  961.0	  471.5	 7456.0	...
5407813	  961.0	  471.4	 7456.0	...
5407814	  960.2	  471.3	 7456.0	...
5407815	  960.2	  471.5	 7460.0	...
5407816	  960.2	  471.6	 7460.0	...
5407817	  959.1	  473.3	 7455.0	...
5407818	  959.1	  473.3	 7455.0	...
5407819	  959.0	  474.2	 7468.0	...
5407820	  959.3	  474.2	 7468.0	...
5407821	  959.7	  469.6	 7464.0	...
5407822	  959.7	  469.6	 7463.0	...
5407823	  959.7	  469.4	 7463.0	...
5407824	  959.7	  469.2	 7464.0	...
5407825	  959.6	  470.0	 7464.0	...
5407826	  959.6	  470.9	 7466.0	...
5407827	  959.6	  471.4	 7467.0	...
5407828	  959.8	  471.4	 7467.0	...
5407829	  960.0	  471.3	 7467.0	...
5407830	  960.0	  471.3	 7467.0	...
5407831	  959.8	  474.3	 7463.0	...
5407832	  960.9	  474.3	 7463.0	...
5407833	  961.0	  474.5	 7467.0	...
5407834	  961.4	  474.6	 7471.0	...
5407835	  961.5	  473.8	 7470.0	...
5407836	  960.6	  473.7	 7469.0	...
5407837	  960.6	  473.7	 7470.0	...
5407838	  961.6	  472.9	 7472.0	...
5407839	  961.6	  472.9	 7473.0	...
5407840	  961.3	  473.8	 7473.0	...
5407841	  961.1	  474.8	 7470.0	...
5407842	  961.0	  475.7	 7470.0	...
5407843	  960.8	  474.4	 7468.0	...
5407844	  960.7	  473.0	 7468.0	...
5407845	  960.7	  472.7	 7468.0	...
5407846	  960.8	  472.6	 7471.0	...
5407847	  961.2	  472.4	 7474.0	...
5407848	  961.2	  472.4	 7474.0	...
5407849	  961.0	  472.4	 7479.0	...
5407850	  961.3	  466.0	 7483.0	...
5407851	  961.4	  466.0	 7483.0	...
5407852	  961.2	  467.8	 7475.0	...
5407853	  960.9	  469.6	 7474.0	...
5407854	  960.5	  474.9	 7474.0	...
5407855	  960.4	  474.9	 7472.0	...
5407856	  960.4	  474.7	 7472.0	...
5407857	  961.4	  474.7	 7472.0	...
5407858	  961.8	  471.6	 7472.0	...
5407859	  961.8	  471.6	 7472.0	...
5407860	  961.9	  470.3	 7472.0	...
5407861	  961.1	  470.3	 7471.0	...
5407862	  959.7	  473.2	 7470.0	...
5407863	  959.7	  473.2	 7470.0	...
5407864	  960.2	  473.6	 7468.0	...
5407865	  960.8	  474.1	 7466.0	...
5407866	  960.8	  474.1	 7466.0	...
5407867	  960.5	  473.7	 7469.0	...
5407868	  960.1	  473.6	 7473.0	...
5407869	  960.1	  473.6	 7477.0	...
5407870	  960.9	  473.7	 7475.0	...
5407871	  960.9	  473.8	 7473.0	...
5407872	  960.9	  473.8	 7477.0	...
5407873	  961.0	  471.5	 7481.0	...
5407874	  961.3	  472.0	 7481.0	...
5407875	  961.3	  472.0	 7481.0	...
5407876	  961.3	  472.5	 7481.0	...
5407877	  961.2	  472.9	 7481.0	...
5407878	  961.4	  472.9	 7481.0	...
5407879	  961.4	  473.2	 7481.0	...
5407880	  961.4	  473.2	 7480.0	...
5407881	  960.7	  471.4	 7480.0	...
5407882	  960.8	  470.8	 7487.0	...
5407883	  960.9	  470.8	 7487.0	...
5407884	  961.7	  470.7	 7479.0	...
5407885	  962.0	  470.5	 7479.0	...
5407886	  962.1	  470.0	 7479.0	...
5407887	  962.0	  470.0	 7481.0	...
5407888	  961.9	  470.0	 7484.0	...
5407889	  962.2	  470.8	 7487.0	...
5407890	  962.3	  471.6	 7489.0	...
5407891	  962.2	  473.2	 7489.0	...
5407892	  961.6	  472.1	 7492.0	...
5407893	  961.5	  472.1	 7492.0	...
5407894	  961.2	  474.3	 7492.0	...
5407895	  960.3	  474.3	 7491.0	...
5407896	  960.0	  471.3	 7490.0	...
5407897	  957.4	  473.2	 7490.0	...
5407898	  956.3	  473.1	 7489.0	...
5407899	  952.8	  472.1	 7489.0	...
5407900	  951.7	  471.3	 7487.0	...
5407901	  950.5	  471.2	 7486.0	...
5407902	  948.2	  471.1	 7490.0	...
5407903	  946.0	  471.8	 7490.0	...
5407904	  946.0	  472.7	 7489.0	...
5407905	  944.5	  473.9	 7488.0	...
5407906	  944.4	  473.9	 7488.0	...
5407907	  944.4	  473.9	 7485.0	...
5407908	  947.5	  472.2	 7485.0	...
5407909	  947.5	  472.0	 7497.0	...
5407910	  947.5	  472.0	 7497.0	...
5407911	  947.7	  473.7	 7493.0	...
5407912	  948.1	  473.7	 7494.0	...
5407913	  948.7	  473.0	 7494.0	...
5407914	  950.8	  473.3	 7494.0	...
5407915	  950.5	  473.3	 7495.0	...
5407916	  950.5	  470.8	 7495.0	...
5407917	  950.2	  470.7	 7496.0	...
5407918	  950.4	  470.7	 7496.0	...
5407919	  950.4	  470.7	 7496.0	...
5407920	  949.9	  472.6	 7497.0	...
5407921	  949.8	  472.6	 7498.0	...
5407922	  949.5	  475.1	 7498.0	...
5407923	  949.2	  474.2	 7489.0	...
5407924	  949.3	  473.3	 7489.0	...
5407925	  949.1	  473.3	 7489.0	...
5407926	  948.9	  475.8	 7489.0	...
5407927	  949.0	  475.8	 7491.0	...
5407928	  949.1	  475.4	 7491.0	...
5407929	  949.2	  475.4	 7492.0	...
5407930	  949.1	  474.5	 7493.0	...
5407931	  949.2	  473.7	 7494.0	...
5407932	  950.6	  475.1	 7494.0	...
5407933	  950.6	  475.1	 7494.0	...
5407934	  947.9	  471.1	 7494.0	...
5407935	  947.9	  471.1	 7494.0	...
5407936	  948.5	  475.1	 7491.0	...
5407937	  948.5	  475.1	 7490.0	...
5407938	  948.2	  474.4	 7490.0	...
5407939	  947.9	  474.0	 7490.0	...
5407940	  947.9	  474.0	 7490.0	...
5407941	  948.6	  474.0	 7491.0	...
5407942	  948.5	  474.7	 7501.0	...
5407943	  948.7	  474.7	 7501.0	...
5407944	  949.0	  471.4	 7501.0	...
5407945	  948.3	  471.3	 7500.0	...
5407946	  948.3	  472.0	 7498.0	...
5407947	  948.3	  472.0	 7498.0	...
5407948	  948.2	  473.7	 7496.0	...
5407949	  948.4	  473.1	 7495.0	...
5407950	  948.4	  472.4	 7495.0	...
5407951	  948.4	  472.4	 7495.0	...
5407952	  948.0	  471.5	 7496.0	...
5407953	  948.0	  471.7	 7498.0	...
5407954	  948.0	  471.8	 7501.0	...
5407955	  948.7	  472.0	 7501.0	...
5407956	  948.7	  472.2	 7502.0	...
5407957	  948.7	  472.2	 7503.0	...
5407958	  947.1	  471.2	 7506.0	...
5407959	  947.1	  471.2	 7506.0	...
5407960	  947.3	  473.7	 7499.0	...
5407961	  947.3	  473.7	 7499.0	...
5407962	  947.8	  471.2	 7499.0	...
5407963	  948.1	  471.4	 7503.0	...
5407964	  950.0	  471.7	 7503.0	...
5407965	  949.9	  472.0	 7505.0	...
5407966	  949.8	  471.9	 7505.0	...
5407967	  949.7	  471.1	 7504.0	...
5407968	  949.0	  471.1	 7500.0	...
5407969	  947.0	  471.1	 7496.0	...
5407970	  947.0	  471.3	 7495.0	...
5407971	  949.0	  470.9	 7495.0	...
5407972	  949.0	  470.9	 7494.0	...
5407973	  949.1	  470.1	 7494.0	...
5407974	  949.9	  470.1	 7493.0	...
5407975	  949.9	  470.6	 7493.0	...
5407976	  949.3	  470.6	 7505.0	...
5407977	  948.8	  469.5	 7506.0	...
5407978	  948.5	  469.4	 7506.0	...
5407979	  948.4	  470.3	 7506.0	...
5407980	  948.9	  470.3	 7505.0	...
