** CONVERTED FROM C:\Users\arezoo\Documents\MATLAB\Projects\SceneConstruction_RDP_Psychophysics\MotionDiscrim\Data\SubjectsData\111\111_Block_1_toTrial7.edf using edfapi 3.1 Win32 Apr 29 2011 on Wed Jul 03 15:28:17 2019
** DATE: Wed Jul  3 16:33:18 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AC7
** SERIAL NUMBER: CLG-BBE31
** CAMERA_CONFIG: BBE31200.SCD
** Heins_SC
**

MSG	587276 RECCFG CR 1000 1 1 R
MSG	587276 ELCLCFG MTABLER
MSG	587276 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	587276 THRESHOLDS R 83 220
MSG	587276 ELCL_WINDOW_SIZES 176 188 0 0
MSG	587276 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	587276 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	587276 ELCL_PROC ELLIPSE  (5)
MSG	587276 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	587277 !MODE RECORD CR 1000 1 1 R
START	587278 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	587278	127
587392	  974.2	  523.5	 6418.0	...
587393	  974.0	  523.5	 6418.0	...
587394	  974.8	  521.4	 6420.0	...
587395	  974.8	  521.4	 6423.0	...
587396	  974.8	  521.4	 6430.0	...
587397	  974.1	  522.3	 6429.0	...
587398	  973.7	  522.2	 6427.0	...
587399	  972.4	  522.1	 6425.0	...
587400	  972.7	  520.2	 6425.0	...
587401	  972.7	  520.2	 6433.0	...
587402	  973.0	  521.2	 6433.0	...
587403	  972.3	  521.8	 6438.0	...
587404	  972.3	  521.8	 6438.0	...
587405	  972.3	  521.8	 6438.0	...
587406	  972.8	  521.5	 6439.0	...
587407	  972.9	  521.2	 6439.0	...
587408	  972.4	  521.2	 6432.0	...
587409	  972.2	  522.4	 6432.0	...
MSG	587410 Bl_Tr_Dir_Coh 1 1 0 0 
587410	  972.4	  521.8	 6432.0	...
587411	  972.0	  521.9	 6432.0	...
587412	  971.6	  521.9	 6439.0	...
587413	  968.1	  522.4	 6439.0	...
587414	  967.9	  522.8	 6427.0	...
587415	  967.1	  525.4	 6427.0	...
587416	  967.1	  525.4	 6427.0	...
587417	  966.6	  525.7	 6431.0	...
MSG	587418 EYE_CHECK
587418	  966.6	  525.7	 6431.0	...
587419	  966.8	  525.1	 6432.0	...
587420	  967.0	  524.6	 6432.0	...
587421	  969.1	  520.6	 6432.0	...
587422	  969.1	  520.6	 6445.0	...
587423	  969.1	  520.9	 6445.0	...
587424	  969.0	  521.2	 6436.0	...
587425	  968.0	  521.2	 6436.0	...
587426	  966.4	  519.1	 6436.0	...
587427	  966.4	  519.1	 6442.0	...
587428	  966.3	  519.1	 6443.0	...
587429	  966.3	  519.1	 6444.0	...
587430	  966.1	  522.0	 6444.0	...
587431	  966.2	  521.6	 6433.0	...
587432	  965.9	  521.6	 6429.0	...
587433	  965.3	  523.9	 6429.0	...
587434	  965.1	  523.9	 6429.0	...
587435	  966.9	  517.7	 6435.0	...
587436	  968.0	  517.7	 6441.0	...
587437	  967.9	  519.2	 6441.0	...
587438	  967.8	  520.2	 6439.0	...
587439	  967.8	  520.2	 6439.0	...
587440	  965.7	  520.3	 6439.0	...
587441	  965.7	  520.5	 6424.0	...
587442	  968.1	  519.6	 6424.0	...
587443	  968.4	  518.8	 6446.0	...
587444	  967.1	  518.2	 6446.0	...
587445	  967.0	  518.6	 6446.0	...
587446	  967.4	  519.0	 6441.0	...
587447	  967.7	  519.2	 6442.0	...
587448	  967.6	  519.4	 6442.0	...
587449	  967.0	  521.1	 6438.0	...
587450	  965.0	  521.1	 6442.0	...
587451	  965.0	  521.1	 6441.0	...
587452	  968.2	  520.9	 6441.0	...
587453	  968.2	  520.9	 6441.0	...
587454	  967.3	  519.4	 6448.0	...
587455	  967.3	  519.4	 6448.0	...
587456	  967.3	  519.4	 6446.0	...
587457	  966.2	  518.7	 6446.0	...
587458	  966.2	  518.7	 6449.0	...
587459	  966.5	  519.9	 6449.0	...
587460	  966.5	  519.9	 6434.0	...
587461	  965.8	  520.8	 6434.0	...
587462	  965.8	  520.8	 6437.0	...
587463	  965.9	  520.5	 6441.0	...
587464	  966.1	  520.2	 6441.0	...
587465	  966.7	  520.7	 6441.0	...
587466	  966.3	  520.8	 6429.0	...
587467	  966.3	  520.8	 6429.0	...
587468	  966.0	  520.6	 6434.0	...
587469	  965.9	  521.0	 6434.0	...
587470	  966.8	  521.0	 6434.0	...
587471	  966.3	  522.6	 6439.0	...
587472	  966.3	  522.6	 6443.0	...
