** CONVERTED FROM W:\#Common\4Conor\SceneConstruction_data\SC\991546040\991546040_Block_1_toTrial5.edf using edfapi 3.1 Win32 Apr 29 2011 on Sat Jul 06 17:09:00 2019
** DATE: Thu Jul  4 04:01:38 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDE33
** CAMERA_CONFIG: BDE33200.SCD
** Heins_SC
**

MSG	4155054 RECCFG CR 1000 1 1 R
MSG	4155054 ELCLCFG MTABLER
MSG	4155054 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	4155054 THRESHOLDS R 101 230
MSG	4155054 ELCL_WINDOW_SIZES 176 188 0 0
MSG	4155054 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	4155054 ELCL_PROC ELLIPSE  (5)
MSG	4155054 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4155055 !MODE RECORD CR 1000 1 1 R
START	4155056 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	4155056	127
4155167	  924.6	  511.6	 5488.0	...
4155168	  924.6	  512.3	 5487.0	...
4155169	  925.0	  513.0	 5487.0	...
4155170	  926.0	  513.0	 5488.0	...
4155171	  926.0	  513.0	 5488.0	...
4155172	  925.9	  513.1	 5490.0	...
4155173	  925.7	  513.1	 5491.0	...
4155174	  925.5	  513.1	 5494.0	...
4155175	  925.0	  513.2	 5497.0	...
4155176	  924.7	  512.8	 5497.0	...
4155177	  924.4	  511.8	 5494.0	...
4155178	  922.9	  510.9	 5492.0	...
4155179	  922.9	  510.9	 5493.0	...
4155180	  923.0	  510.8	 5493.0	...
4155181	  923.0	  510.8	 5489.0	...
4155182	  923.0	  510.9	 5489.0	...
4155183	  923.0	  510.9	 5490.0	...
4155184	  922.9	  511.5	 5491.0	...
4155185	  922.8	  511.5	 5490.0	...
4155186	  922.1	  510.7	 5490.0	...
4155187	  922.1	  511.2	 5492.0	...
4155188	  922.1	  511.6	 5492.0	...
4155189	  922.2	  511.4	 5493.0	...
4155190	  922.7	  511.1	 5493.0	...
4155191	  922.8	  511.1	 5494.0	...
4155192	  923.6	  511.6	 5493.0	...
4155193	  923.7	  512.2	 5493.0	...
4155194	  923.9	  512.9	 5497.0	...
MSG	4155195 Bl_Tr_Dir1_Dir2_Scene_Config_Coh1_Coh2 1 1 180 90 1 6 21 35
4155195	  924.6	  513.3	 5499.0	...
4155196	  924.6	  513.3	 5499.0	...
4155197	  924.6	  513.3	 5499.0	...
4155198	  924.2	  513.3	 5499.0	...
4155199	  924.2	  513.3	 5499.0	...
4155200	  924.4	  513.7	 5500.0	...
4155201	  924.5	  513.6	 5500.0	...
4155202	  926.0	  513.4	 5502.0	...
4155203	  926.0	  513.6	 5502.0	...
4155204	  926.0	  513.8	 5501.0	...
MSG	4155205 EYE_CHECK
4155205	  925.6	  513.7	 5501.0	...
4155206	  925.3	  513.7	 5502.0	...
4155207	  925.8	  513.6	 5504.0	...
4155208	  925.8	  513.0	 5504.0	...
4155209	  925.7	  513.1	 5501.0	...
4155210	  925.7	  513.1	 5501.0	...
4155211	  925.7	  511.7	 5501.0	...
4155212	  925.5	  511.8	 5499.0	...
4155213	  925.6	  512.2	 5499.0	...
4155214	  925.6	  512.7	 5502.0	...
4155215	  925.9	  512.4	 5502.0	...
4155216	  925.9	  512.4	 5501.0	...
4155217	  926.1	  514.3	 5501.0	...
4155218	  926.3	  514.3	 5500.0	...
4155219	  926.9	  512.6	 5500.0	...
4155220	  927.0	  512.6	 5502.0	...
4155221	  927.0	  513.3	 5501.0	...
4155222	  927.2	  513.0	 5501.0	...
4155223	  927.3	  512.9	 5501.0	...
4155224	  927.3	  512.9	 5501.0	...
4155225	  927.3	  513.1	 5501.0	...
4155226	  927.6	  513.2	 5502.0	...
4155227	  928.7	  515.6	 5503.0	...
4155228	  928.7	  515.6	 5502.0	...
4155229	  928.5	  515.5	 5501.0	...
4155230	  928.5	  515.0	 5501.0	...
4155231	  929.6	  514.9	 5501.0	...
4155232	  929.4	  514.8	 5498.0	...
4155233	  929.1	  513.0	 5498.0	...
4155234	  929.2	  513.2	 5498.0	...
4155235	  930.2	  513.3	 5498.0	...
4155236	  930.3	  513.6	 5503.0	...
4155237	  930.3	  513.6	 5503.0	...
4155238	  930.2	  513.9	 5503.0	...
4155239	  930.1	  513.8	 5501.0	...
4155240	  928.2	  513.9	 5501.0	...
4155241	  927.8	  513.2	 5500.0	...
4155242	  927.3	  512.7	 5500.0	...
4155243	  926.9	  512.7	 5504.0	...
4155244	  926.9	  513.7	 5504.0	...
4155245	  926.9	  513.7	 5504.0	...
4155246	  926.3	  513.8	 5505.0	...
4155247	  925.7	  514.4	 5505.0	...
4155248	  925.3	  514.5	 5508.0	...
4155249	  925.0	  514.6	 5508.0	...
4155250	  925.0	  514.6	 5508.0	...
4155251	  925.0	  513.7	 5506.0	...
4155252	  924.7	  512.8	 5504.0	...
4155253	  923.7	  512.9	 5498.0	...
4155254	  923.7	  512.9	 5498.0	...
4155255	  923.9	  512.9	 5505.0	...
4155256	  924.1	  513.2	 5505.0	...
4155257	  925.0	  513.5	 5505.0	...
4155258	  926.3	  513.5	 5505.0	...
