** CONVERTED FROM C:\Users\arezoo\Documents\MATLAB\Projects\SceneConstruction_RDP_Psychophysics\SceneConstructionProper\Data\SubjectsData\113\113_Block_1_toTrial120.edf using edfapi 3.1 Win32 Apr 29 2011 on Wed Jul 03 19:23:16 2019
** DATE: Wed Jul  3 19:47:50 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AC7
** SERIAL NUMBER: CLG-BBE31
** CAMERA_CONFIG: BBE31200.SCD
** Heins_SC
**

MSG	2918901 RECCFG CR 1000 1 1 R
MSG	2918901 ELCLCFG MTABLER
MSG	2918901 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	2918901 THRESHOLDS R 64 206
MSG	2918901 ELCL_WINDOW_SIZES 176 188 0 0
MSG	2918901 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	2918901 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	2918901 ELCL_PROC ELLIPSE  (5)
MSG	2918901 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	2918902 !MODE RECORD CR 1000 1 1 R
START	2918903 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	2918903	127
2918903	 1085.0	  516.2	 4983.0	...
2918904	 1084.9	  517.1	 4983.0	...
2918905	 1084.3	  517.5	 4983.0	...
2918906	 1084.3	  517.9	 4983.0	...
2918907	 1084.3	  517.8	 4982.0	...
2918908	 1084.3	  517.8	 4982.0	...
SFIX R   2918909
2918909	 1084.3	  517.8	 4984.0	...
2918910	 1084.0	  517.8	 4982.0	...
2918911	 1083.4	  519.5	 4980.0	...
2918912	 1082.7	  519.5	 4977.0	...
2918913	 1083.1	  517.3	 4977.0	...
2918914	 1083.4	  517.3	 4978.0	...
2918915	 1083.7	  515.3	 4980.0	...
2918916	 1083.7	  515.3	 4981.0	...
2918917	 1083.4	  515.3	 4983.0	...
2918918	 1083.4	  515.6	 4983.0	...
2918919	 1083.4	  515.6	 4982.0	...
2918920	 1083.7	  515.1	 4982.0	...
2918921	 1083.9	  514.6	 4983.0	...
2918922	 1083.9	  514.4	 4983.0	...
2918923	 1083.6	  514.4	 4978.0	...
2918924	 1083.1	  516.0	 4978.0	...
2918925	 1082.4	  516.0	 4978.0	...
2918926	 1082.4	  516.0	 4977.0	...
2918927	 1082.9	  516.0	 4976.0	...
2918928	 1083.5	  513.7	 4976.0	...
2918929	 1083.8	  514.4	 4980.0	...
2918930	 1084.1	  514.5	 4980.0	...
2918931	 1084.2	  513.8	 4979.0	...
2918932	 1081.4	  513.7	 4972.0	...
2918933	 1081.4	  514.0	 4972.0	...
2918934	 1081.3	  514.9	 4971.0	...
